Date,GS,LF,LT,N,WG,WR
09/07/2022 13:00,854.833333333333,40.7166666666667,8.18333333333333,0,2.60913075119946,293.525401872629
09/07/2022 14:00,787,37.55,8.86666666666667,0,3.20992746812342,295.788042855702
09/07/2022 15:00,727.333333333333,40.4333333333333,9.05,0,4.4866295071109,295.346799398024
09/07/2022 16:00,621.333333333333,35.5666666666667,9.15,0,5.2920284050867,287.480899208476
09/07/2022 17:00,537,40.4833333333333,8.95,0,5.7177853228625,289.300660709627
09/07/2022 18:00,315,47.6833333333333,8.23333333333333,0,5.17259049597432,291.867782252601
09/07/2022 19:00,78,60.4333333333333,6.98333333333333,0,4.49293827215981,293.344262194976
09/07/2022 20:00,33,65.3333333333333,6.33333333333333,0,4.37644859343229,281.757400955016
09/07/2022 21:00,0.5,74.7333333333333,5.53333333333333,0,3.39962377005499,285.510308659468
09/07/2022 22:00,0.166666666666667,80.6166666666667,4.85,0,3.50406195944043,289.146786151912
09/07/2022 23:00,0,83.8166666666667,4.21666666666667,0,2.21799384836159,273.964323860963
10/07/2022 00:00,0,81.3333333333333,3.76666666666667,0,2.88680692299591,278.219449164166
10/07/2022 01:00,0,78.1833333333333,3.31666666666667,0,3.24144301449821,278.566680452878
10/07/2022 02:00,0.166666666666667,68.7333333333333,3.5,0,3.10864578187191,304.243217016724
10/07/2022 03:00,0.333333333333333,68.9666666666667,3.5,0,2.65876989151601,294.582056593877
10/07/2022 04:00,0.5,69.5833333333333,3.51666666666667,0,2.40156185039057,291.832715440297
10/07/2022 05:00,2.16666666666667,72.5,3.51666666666667,0,2.1913397878747,303.591115010372
10/07/2022 06:00,34.5,73.9166666666667,3.5,0,2.47777695748414,296.93734000159
10/07/2022 07:00,50.8333333333333,76.3,3.45,0,1.82950802982672,293.448589372039
10/07/2022 08:00,92.6666666666667,75.65,3.6,0,2.75124722020737,281.573648869703
10/07/2022 09:00,71.8333333333333,78.5333333333333,3.53333333333333,0,3.3064769109505,283.112704536889
10/07/2022 10:00,197.5,81.5333333333333,3.71666666666667,0,2.79934127097461,285.827644186241
10/07/2022 11:00,189.5,82.6333333333333,4.01666666666667,0,3.02174530939834,281.053826402643
10/07/2022 12:00,208.833333333333,83.2,4.41666666666667,0,2.83325830618867,282.103191555837
10/07/2022 13:00,365.833333333333,82.0333333333333,4.93333333333333,0,3.38966023139572,283.31967288618
10/07/2022 14:00,797,68.6,6.61666666666667,0,3.62835705226298,292.553480579964
10/07/2022 15:00,307.833333333333,72,6.31666666666667,0,3.78957220953315,287.903224757473
10/07/2022 16:00,302,71.7166666666667,6.05,0,3.25303062680094,289.527353884622
10/07/2022 17:00,322.833333333333,68.2666666666667,6.38333333333333,0,4.21275081785019,295.232689211146
10/07/2022 18:00,266,68.2166666666667,6.16666666666667,0,3.06304743849067,290.402515980634
10/07/2022 19:00,81.6666666666667,74.1166666666667,5.56666666666667,0,3.19649312649477,289.465185432132
10/07/2022 20:00,28.5,78.5333333333333,4.83333333333333,0,2.86309217203646,281.591361714662
10/07/2022 21:00,2.5,78.2166666666667,4.28333333333333,0,2.50600335441293,275.09355015388
10/07/2022 22:00,0,75.9166666666667,4.21666666666667,0,1.75728171122631,281.977283730464
10/07/2022 23:00,0,79.95,3.78333333333333,0,0.754764269333179,271.459393170882
11/07/2022 00:00,0.833333333333333,80.0333333333333,3.63333333333333,0,0.898268417451201,281.339132668061
11/07/2022 01:00,1.83333333333333,81.5166666666667,3.4,0,0.508786759055251,296.760278504223
11/07/2022 02:00,1.5,83.8833333333333,3.1,0,1.06446588930179,36.4181941219692
11/07/2022 03:00,1.16666666666667,82.75,3.06666666666667,0,0.483220073894946,19.1551977767222
11/07/2022 04:00,0,75.7833333333333,3.51666666666667,0,0.766185087276188,349.628877837108
11/07/2022 05:00,2.33333333333333,67.8833333333333,4.01666666666667,0,0.46984306808364,19.7319858630182
11/07/2022 06:00,16.6666666666667,64.5,4.28333333333333,0,1.1607151628573,10.1111385036746
11/07/2022 07:00,225.166666666667,64.8333333333333,4.76666666666667,0,0.906709383311409,37.8221248739418
11/07/2022 08:00,420.166666666667,63,5.6,0,1.14578681137058,27.7141621017949
11/07/2022 09:00,562.5,56.3,6.71666666666667,0,1.1075608528802,280.684832130438
11/07/2022 10:00,684.5,52.1333333333333,7.65,0,1.25847645855766,316.304705973623
11/07/2022 11:00,775.5,49.0833333333333,8.36666666666667,0,1.04364723401779,323.277213729469
11/07/2022 12:00,847.833333333333,48.7,9.28333333333333,0,1.92646280943755,292.316655301376
11/07/2022 13:00,778.5,45.4,9.98333333333333,0,2.18573694990115,318.164373930814
11/07/2022 14:00,775.166666666667,46.3333333333333,10.2666666666667,0,3.54058228116087,300.498821407148
11/07/2022 15:00,541.166666666667,44.6,10.3666666666667,0,3.04907514767837,291.937130654195
11/07/2022 16:00,332.333333333333,40.0333333333333,10.5,0,3.79573627533429,287.66569342717
11/07/2022 17:00,298,38.7166666666667,10.4666666666667,0,3.84736348614254,288.302913930364
11/07/2022 18:00,171.333333333333,37.6833333333333,10.3666666666667,0,3.77803910491476,283.557553140381
11/07/2022 19:00,123.166666666667,36.1666666666667,9.93333333333333,0,4.47180097230178,280.296561144473
11/07/2022 20:00,68,38.1,9.28333333333333,0,3.30750899808748,291.532732321784
11/07/2022 21:00,1,46.8333333333333,7.83333333333333,0,1.97633355865122,88.8548384524434
11/07/2022 22:00,0,53.3,7.18333333333333,0,1.64193275456046,86.3570114421305
11/07/2022 23:00,0,60.2666666666667,6.45,0,1.55659527607433,270.73242631784
12/07/2022 00:00,0,71.1666666666667,5.58333333333333,0,0.811082112296348,275.799887957128
12/07/2022 01:00,0,75.4833333333333,5,0,0.867100539196896,53.0226126385945
12/07/2022 02:00,0,67.3166666666667,4.98333333333333,0,0.833110117309053,39.5918264065498
12/07/2022 03:00,0,55.4333333333333,5.26666666666667,0,0.332222708300746,274.17973021853
12/07/2022 04:00,0,50.2166666666667,5.25,0,0.475453877251064,67.2147993377245
12/07/2022 05:00,2.66666666666667,47.95,5.31666666666667,0,0.978905462190166,305.883041183549
12/07/2022 06:00,22,47.35,5.26666666666667,0,0.5434590194681,71.6697215928335
12/07/2022 07:00,189,44.4,5.78333333333333,0,0.959060847855563,305.592821756804
12/07/2022 08:00,418.166666666667,45.3166666666667,6.03333333333333,0,1.66673821087217,314.633815359793
12/07/2022 09:00,563.333333333333,46.4333333333333,6.45,0,1.27741711593475,314.58445341458
12/07/2022 10:00,684.666666666667,42.75,7.05,0,1.47389050909905,293.592341274159
12/07/2022 11:00,777.666666666667,38.2,7.91666666666667,0,2.38521831906573,333.143490496217
12/07/2022 12:00,831.333333333333,36.35,8.66666666666667,0,2.49272989239059,330.521586923728
12/07/2022 13:00,845.333333333333,35.25,9.43333333333333,0,2.01315896263407,312.952181087322
12/07/2022 14:00,824.5,35.3666666666667,10.0333333333333,0,3.62431628698024,301.07888761739
12/07/2022 15:00,746.166666666667,34.4666666666667,10.55,0,3.37383947887425,297.907485990005
12/07/2022 16:00,651.333333333333,32.55,10.85,0,4.47984228645372,291.962316683567
12/07/2022 17:00,474.666666666667,31.8,10.5166666666667,0,4.8739051642868,293.105657868141
12/07/2022 18:00,165.333333333333,38.7666666666667,9.43333333333333,0,4.37034779443959,293.655355887275
12/07/2022 19:00,45.8333333333333,47.55,8.51666666666667,0,4.196370286638,290.724834518725
12/07/2022 20:00,55,52.2833333333333,7.9,0,4.14240730951298,284.829119641968
12/07/2022 21:00,1,59.2333333333333,6.8,0,4.18008606267298,274.562458227373
12/07/2022 22:00,0,64.8166666666667,6.08333333333333,0,1.54682660671085,71.3388797694265
12/07/2022 23:00,0,64.0833333333333,5.66666666666667,0,0.677808756546732,66.684013421483
13/07/2022 00:00,0,54.4833333333333,5.6,0,0.247423596315298,272.758057773478
13/07/2022 01:00,0,49.6666666666667,5.5,0,0.458585510605762,310.197592654515
13/07/2022 02:00,0.166666666666667,52.5666666666667,5.16666666666667,0,0.70315122662901,301.294835866226
13/07/2022 03:00,0,42.7333333333333,5.35,0,1.40650346441259,279.067901299487
13/07/2022 04:00,0,43.9666666666667,5.25,0,1.63512954988318,284.490592104146
13/07/2022 05:00,2.16666666666667,44.2833333333333,5.05,0,1.57297743390967,291.165036675573
13/07/2022 06:00,15.5,42.1666666666667,5.16666666666667,0,1.1478043300932,279.560489987199
13/07/2022 07:00,216,34.6166666666667,6.53333333333333,0,1.29912341626771,284.012367848933
13/07/2022 08:00,411.5,30.3333333333333,8.05,0,0.606151838920422,305.059701934476
13/07/2022 09:00,552.833333333333,26.2333333333333,10.0833333333333,0,1.61943643875304,315.49637733069
13/07/2022 10:00,671.333333333333,28.8,10.2333333333333,0,0.874281998636273,65.9493951008593
13/07/2022 11:00,759.5,32.7166666666667,10.0333333333333,0,1.59481019546554,303.52608510277
13/07/2022 12:00,813.5,31.7333333333333,11.55,0,1.8196701117071,296.741201277325
13/07/2022 13:00,831.5,30.5833333333333,12.2833333333333,0,2.05401951428824,297.9703210395
13/07/2022 14:00,805,24.2166666666667,13.2833333333333,0,2.43773792743394,285.986671333978
13/07/2022 15:00,734.166666666667,28.3166666666667,13.8666666666667,0,2.31829034762842,286.805347973389
13/07/2022 16:00,633.333333333333,29.1666666666667,14.5166666666667,0,2.01228817687374,298.668977532285
13/07/2022 17:00,507,30.1666666666667,14.6666666666667,0,2.94450804427725,297.249499212736
13/07/2022 18:00,305.333333333333,31.95,14.1,0,3.48069837635987,292.511659281546
13/07/2022 19:00,138.666666666667,36.1833333333333,13.4,0,2.53156548779536,297.558045617107
13/07/2022 20:00,47,41.1666666666667,12.3,0,1.40707614958902,88.8287564629163
13/07/2022 21:00,0.833333333333333,45.0666666666667,11.3166666666667,0,1.02740300058034,88.4682423160934
13/07/2022 22:00,0,50.5333333333333,10.7333333333333,0,1.02377872929176,56.2857394378702
13/07/2022 23:00,0,55.55,10.0666666666667,0,0.929490202314562,49.4766633112294
14/07/2022 00:00,0,58.4666666666667,9.6,0,0.864221263297039,272.967393147727
14/07/2022 01:00,0,60.8333333333333,9.28333333333333,0,0.958175528768684,55.9109360339399
14/07/2022 02:00,0,57.25,9.28333333333333,0,1.17489194484027,47.3191504445644
14/07/2022 03:00,0,50.2,9.4,0,0.354124455462993,37.2129322773864
14/07/2022 04:00,0,45.35,9.56666666666667,0,0.50720985153861,326.108480474798
14/07/2022 05:00,3.16666666666667,44.9166666666667,9.51666666666667,0,0.465817489392376,349.674526772622
14/07/2022 06:00,25.6666666666667,40.85,9.78333333333333,0,0.866316190456213,358.420563499015
14/07/2022 07:00,33.6666666666667,45.3,9.2,0,0.416065778672447,9.621768993574
14/07/2022 08:00,149,45.4833333333333,9.36666666666667,0,0.739510745295384,341.30215869527
14/07/2022 09:00,284.333333333333,41.1333333333333,10.05,0,0.801650295693248,87.0537308517205
14/07/2022 10:00,437.166666666667,36.85,10.8833333333333,0,1.19916877359959,282.367978317872
14/07/2022 11:00,326.833333333333,40.6,10.9166666666667,0,2.54744876984795,295.327188603592
14/07/2022 12:00,555.833333333333,41.65,11.25,0,0.667460633125137,75.1535396616783
14/07/2022 13:00,765.833333333333,33.7666666666667,12.9333333333333,0,2.34643460546763,297.992552103615
14/07/2022 14:00,802.166666666667,30.95,13.6166666666667,0,1.02902946573418,70.6128844608851
14/07/2022 15:00,625.833333333333,28.8833333333333,14.3166666666667,0,1.59577111720009,83.6945521424158
14/07/2022 16:00,409.166666666667,30.3833333333333,14.3833333333333,0,1.87996007066751,295.430046778794
14/07/2022 17:00,170.5,32.8333333333333,13.85,0,1.77785736995664,305.775501865142
14/07/2022 18:00,100.666666666667,35.1,13.4833333333333,0,1.71635359195041,277.44336962852
14/07/2022 19:00,80.8333333333333,41,12.9666666666667,0,1.28901220846565,84.8231880937222
14/07/2022 20:00,18.1666666666667,50.6333333333333,12.1333333333333,0,1.50335680112432,50.9006352951147
14/07/2022 21:00,0.5,50.9,11.7166666666667,0,1.76091326224634,66.1871626515651
14/07/2022 22:00,0,52.0166666666667,11.1833333333333,0,1.65541542261317,67.9289410676543
14/07/2022 23:00,0,59.3333333333333,10.4666666666667,0,1.41621159830755,52.4828973755044
15/07/2022 00:00,0,59.6833333333333,10.2,0,1.58120884072583,283.37289698795
15/07/2022 01:00,0,58.7333333333333,10.15,0,2.84123093799266,309.884442394012
15/07/2022 02:00,0,57.7,9.75,0,3.01745159643086,294.379655909995
15/07/2022 03:00,0,68.4333333333333,8.88333333333333,0,2.51797422221993,292.780425709543
15/07/2022 04:00,0,69.1666666666667,8.53333333333333,0,2.32195062346901,290.788155904567
15/07/2022 05:00,1.83333333333333,59.3666666666667,8.68333333333333,0,2.82792992350862,312.171010896726
15/07/2022 06:00,18.3333333333333,67.3,7.98333333333333,0,1.85488647858267,284.392194622468
15/07/2022 07:00,206.166666666667,62.3666666666667,8.2,0,2.4512924158799,307.690784778637
15/07/2022 08:00,420.833333333333,56.2833333333333,8.85,0,1.60048808890531,284.111359362087
15/07/2022 09:00,563,52.4,9.36666666666667,0,1.8759389012903,281.33661231414
15/07/2022 10:00,585.333333333333,48.8,10,0,1.49241746755258,303.533733988259
15/07/2022 11:00,620.166666666667,46.4833333333333,10.9,0,0.954306171087506,286.315762090898
15/07/2022 12:00,728.666666666667,43.75,12.2,0,1.94134392344681,304.846339785738
15/07/2022 13:00,766.666666666667,41.4666666666667,12.8666666666667,0,2.27769488969098,302.140008169728
15/07/2022 14:00,554.833333333333,39.4333333333333,13.3,0,2.60143886058925,305.274618149117
15/07/2022 15:00,526.833333333333,39.8666666666667,13.8333333333333,0,2.90826217090037,302.61206207101
15/07/2022 16:00,246.833333333333,44.3166666666667,13.1,0,2.74209339114777,333.680837412776
15/07/2022 17:00,233.833333333333,46.7833333333333,12.95,0,1.99258578699001,287.851549337418
15/07/2022 18:00,100.833333333333,50.8333333333333,12.2833333333333,0,2.80085721751916,300.241161667494
15/07/2022 19:00,58.1666666666667,52.9833333333333,11.9166666666667,0,2.60841975764721,301.896196375199
15/07/2022 20:00,52.8333333333333,57.25,11.35,0,3.73101840473741,296.156406852979
15/07/2022 21:00,1,65.7833333333333,10.2166666666667,0,3.61415017796136,283.452243330705
15/07/2022 22:00,0,71.9666666666667,9.46666666666667,0,2.75619666176543,277.281517857454
15/07/2022 23:00,0,76.8,8.85,0,2.53465166013272,274.290089691815
16/07/2022 00:00,0,78.3166666666667,8.38333333333333,0,2.86024885883457,304.317150516416
16/07/2022 01:00,0,79.6166666666667,7.88333333333333,0,1.53609467137051,282.100182136011
16/07/2022 02:00,0,82.95,7.33333333333333,0,0.81743352391201,72.8340956327469
16/07/2022 03:00,0.166666666666667,83.1,7.1,0,0.60247919877367,61.1017531004858
16/07/2022 04:00,0,78.5333333333333,7.35,0,0.205267735321352,44.2090991346097
